issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,Ltd.2025,"The Viva ...................................................................................................................... 32

© WJEC CBAC **Ltd.2025**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A space is required after the abbreviation 'Ltd.' before the year in standard British English typography.
1,4,"reference ,","The Guidance for Teaching is not intended as a comprehensive **reference ,** but as support for teachers to develop stimulating and exciting courses tailored to the needs and skills of their learners.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,There should be no space before a comma in standard British English punctuation.
2,6,30 %,Unit 2: Performance from a Text Practical non-examination assessment **30 %** of qualification,ErrorCategory.STYLISTIC_PREFERENCE,90,"In formal British English, there should typically be no space between the number and the percentage sign (e.g., '30%')."
3,6,Ltd.2025,© WJEC CBAC **Ltd.2025**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A space is required between 'Ltd.' and the year '2025'.
4,8,", however,","Learners will have free choice of text for Unit 2, **however,** the choice of text must be different to the set text selected in Unit 3.

Learners can choose to be assessed on either acting or design.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma splice occurs when two independent clauses are joined only by a comma; a semicolon or a full stop should be used before 'however' in this context.
5,8,out of total,"The assessment contributes to 30% of the overall qualification. The unit will be marked **out of total** of 72 marks.

This unit will be assessed by a visiting examiner.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The indefinite article 'a' is missing before 'total', which is required for correct grammar in this phrase ('out of a total of')."
6,10,extracts create,Learners are required to: • (following exploration of a range of relevant **extracts create** and develop an extract(s) from a published performance text for performance. Centres should note that it is not necessary for all learners in the teaching group to choose an extract(s) from the same performance text.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A comma is needed after the introductory participial phrase 'following exploration of a range of relevant extracts' for clarity, even within parentheses."
7,10,All learners are not required,• **All learners are not required** to perform extracts from the same texts and teachers should advise learners what texts would best aid them in accessing the assessment; the final decision however should lie with the learners.,ErrorCategory.AMBIGUOUS_PHRASING,85,The phrasing 'All learners are not required' is ambiguous; 'Not all learners are required' would be clearer.
8,10,however should,• All learners are not required to perform extracts from the same texts and teachers should advise learners what texts would best aid them in accessing the assessment; the final decision **however should** lie with the learners.,ErrorCategory.STYLISTIC_PREFERENCE,80,"The conjunctive adverb 'however' should ideally be set off by commas when used mid-sentence, or placed at the beginning of the clause for better flow."
9,10,in order to explore,"• Learners could, **in order to explore** a range of texts, list the themes used and characters played in Unit 1 to challenge themselves by seeking new, contrasting texts.",ErrorCategory.STYLISTIC_PREFERENCE,75,The phrase 'in order to' is often verbose; 'to explore' is more concise and equally clear.
10,10,however will,Some learners **however will** be better suited to a similar character and style performed in Unit 1 to ensure the best chance at fulfilling potential.,ErrorCategory.STYLISTIC_PREFERENCE,80,"The conjunctive adverb 'however' should ideally be set off by commas when used mid-sentence, or placed at the beginning of the clause for better flow."
11,11,"unit, could","• More able learners wishing to challenge themselves in this **unit, could** select a text that reflects a certain style/practitioner or choose to apply a style, e.g., Physical Theatre to a text such as, ' Waiting for Godot .' This is not a requirement but would be an opportunity to stretch more able learners creatively.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,No comma is needed between the subject phrase 'More able learners wishing to challenge themselves in this unit' and its verb 'could select'.
12,11,"such as, ' Waiting for Godot .'","• More able learners wishing to challenge themselves in this unit, could select a text that reflects a certain style/practitioner or choose to apply a style, e.g., Physical Theatre to a text **such as, ' Waiting for Godot .'** This is not a requirement but would be an opportunity to stretch more able learners creatively.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,Punctuation around the title is incorrect; there should be no comma after 'such as' and the full stop should not be inside the single quote if the sentence continues.
13,11,aid learners to make,"• Setting homework tasks to watch past performances, both amateur and professional, can **aid learners to make** an informed decision as to what text and extract to choose for performance.",ErrorCategory.STYLISTIC_PREFERENCE,80,The phrasing 'aid learners to make' is less idiomatic than 'aid learners in making' or 'help learners make'.
14,12,use of stage,"2. When the learners are off their scripts, teachers could focus on their staging and **use of stage**.",ErrorCategory.STYLISTIC_PREFERENCE,70,'Use of the stage' or 'stage use' would be more natural and grammatically complete.
15,12,delivered clearer,• Are there any lines that need to be **delivered clearer**?,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,An adverb is required to modify the verb 'delivered'; 'more clearly' should be used instead of the adjective 'clearer'.
16,12,apply when sitting,"In preparing for Unit 2, opportunities should be taken to strengthen the understanding of how an actor or designer would apply skills in performance; learners can adapt this understanding and **apply when sitting** the Unit 3 paper.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"The verb 'apply' requires an object in this context (e.g., 'apply this understanding' or 'apply it')."
17,13,N.b,"• Keep a reflective diary of decisions and amendments made during the rehearsal process, taking opportunity to improve their reasoning and justifications ( **N.b** Reflective Logs are not a requirement for Unit 2 but can aid in giving focus to the rehearsal process and help improve transferable skills needed for Unit 3 ).",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The standard abbreviation for 'nota bene' is 'N.B.', and it should be followed by punctuation (e.g., a comma or colon) when introducing a clause."
18,13,my,"• Keep a reflective diary during the rehearsal process, noting ideas discussed during rehearsals or suggestions/requests **made my** performers.",ErrorCategory.SPELLING_ERROR,100,"The word 'my' is a possessive pronoun, but the context requires the preposition 'by' to indicate agency."
19,14,state funded,"Make use of National Theatre Collection, available for free to **state funded** schools.",ErrorCategory.STYLISTIC_PREFERENCE,90,'State-funded' acts as a compound adjective modifying 'schools' and should be hyphenated for clarity in British English.
20,14,reasonable priced,"Seek out past pupils that have continued with performing at university or in the workplace to return to the school and offer a workshop; this can often be a more **reasonable priced**, but as valuable, experience for the learners.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The adverb 'reasonably' is required to modify the participle 'priced'.
21,15,in order for,Designers can step in for actors in cases of absences **in order for** the group to continue to rehearse.,ErrorCategory.STYLISTIC_PREFERENCE,80,The phrase 'in order for' is often verbose and can be replaced by a more concise construction like 'for' or 'so that' without loss of meaning.
22,15,giving a focus to,"Chunk longer rehearsal sessions to assist with resilience by **giving a focus to** each part of the rehearsal, e.g., use of levels, interaction ideas, use of set, experimenting with pauses.",ErrorCategory.STYLISTIC_PREFERENCE,80,The phrasing 'giving a focus to' is slightly wordy and less direct than 'focusing' or 'giving each part a focus'.
23,17,Learners,These opportunities are important to **Learners** because Drama challenges them to consider their cynefin and the possibilities they have to shape and impact the world in which they live.,ErrorCategory.CONSISTENCY_ERROR,90,The term 'learners' is inconsistently capitalised throughout the document; it should be lowercase for consistency with other instances.
24,18,Learners,"These opportunities are important to **Learners** because we as a world collective share this responsibility and in studying these matters, learners are empowered to enact change for the better.",ErrorCategory.CONSISTENCY_ERROR,90,The term 'learners' is inconsistently capitalised throughout the document; it should be lowercase for consistency with other instances.
25,18,explores,"Where possible and relevant, learners could highlight moments in their text that **explores** sustainability and consider how they could further provoke thought through their design concept.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The verb 'explores' does not agree with its plural subject 'moments'; it should be 'explore'.
26,19,a live within performance,Amplification Creating and developing ideas to communicate meaning Developing and applying performance or design skills **a live within performance**,ErrorCategory.AMBIGUOUS_PHRASING,90,"The phrase is grammatically awkward and unclear, likely a result of merged or fragmented text from the original layout; it should probably be 'within a live performance' as part of the preceding point."
27,19,sexual education,Almost all plays allow learners to explore various relationships between characters with some allowing them to consider their views and understanding of **sexual education**.,ErrorCategory.CONSISTENCY_ERROR,85,The document consistently uses the full term 'Relationships and Sexuality Education (RSE)'; 'sexual education' is a less precise and inconsistent abbreviation.
28,19,they've,"When preparing for performance, learners should ensure that **they've** analysed the relationship their character has with others in the play.",ErrorCategory.STYLISTIC_PREFERENCE,70,Contractions like 'they've' are generally avoided in formal educational guidance documents for a more professional tone.
29,20,within their own right,...embrace everyone with respect and as an individual **within their own right**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The idiomatic expression in British English is 'in their own right,' not 'within their own right.'"
30,20,"works written by Black, Asian and minority ethnic perspectives","Learners should be made aware of the **works written by Black, Asian and minority ethnic perspectives**, identities, cultures and contributions.",ErrorCategory.AMBIGUOUS_PHRASING,90,"Works are typically written by individuals or groups, not by abstract 'perspectives', making the phrasing awkward and unclear."
